stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,paradas_id,alcaldia
fa077f,N/A,Potrero,19.47660808499176,-99.13265208566766,0,N/A,0,1,Gustavo A. Madero
fa0781,N/A,Circuito L1,19.46262217936452,-99.14386723712764,0,N/A,0,2,Cuauhtémoc
fa0782,N/A,San Simn,19.45951903848959,-99.14643816862964,0,N/A,0,3,Cuauhtémoc
fa0783,N/A,Manuel Gonzlez,19.456615046343,-99.14948159428556,0,N/A,0,4,Cuauhtémoc
fa0784,N/A,Buenavista L1,19.44691022319351,-99.15307779648693,0,N/A,0,5,Cuauhtémoc
fa0785,N/A,El Chopo,19.44349969896119,-99.15434496585382,0,N/A,0,6,Cuauhtémoc
fa0786,N/A,Revolucin,19.44038555031536,-99.15537707771638,0,N/A,0,7,Cuauhtémoc
fa0787,N/A,Plaza de la Repblica L1,19.43597072042957,-99.15739044966492,0,N/A,0,8,Cuauhtémoc
fa0788,N/A,Reforma L1,19.43279916313105,-99.15879315610292,0,N/A,0,9,Cuauhtémoc
fa0789,N/A,Hamburgo L1,19.42783415435309,-99.16106475746771,0,N/A,0,10,Cuauhtémoc
fa078a,N/A,Insurgentes Pte,19.42410906772833,-99.16333142064484,0,N/A,0,11,Cuauhtémoc
fa078b,N/A,Insurgentes Ote,19.42337240356835,-99.16248154356876,0,N/A,0,12,Cuauhtémoc
fa078c,N/A,Durango,19.41997622456321,-99.16401286952052,0,N/A,0,13,Cuauhtémoc
fa078d,N/A,lvaro Obregn,19.41653448382856,-99.16509146537012,0,N/A,0,14,Álvaro Obregón
fa078e,N/A,Sonora,19.41341136250927,-99.166103698841,0,N/A,0,15,Cuauhtémoc
fa078f,N/A,Campeche,19.409778514779635,-99.16727274656296,0,N/A,0,16,Cuauhtémoc
fa0790,N/A,Chilpancingo,19.40668064654693,-99.16823652746277,0,N/A,0,17,Cuauhtémoc
fa0791,N/A,El Caminero,19.27940039461813,-99.16906731453444,0,N/A,0,18,Tlalpan
fa0792,N/A,Nuevo Len L1,19.40204269480295,-99.16975234012804,0,N/A,0,19,Cuauhtémoc
fa0793,N/A,La Joya,19.28035536452082,-99.1700111751622,0,N/A,0,20,Tlalpan
fa0794,N/A,La Piedad,19.39776384658177,-99.1711536312679,0,N/A,0,21,Benito Juárez
fa0795,N/A,Polifrum,19.39321394751125,-99.172701367973,0,N/A,0,22,Benito Juárez
fa0796,N/A,Npoles,19.3896222909298,-99.1737990029131,0,N/A,0,23,Benito Juárez
fa0797,N/A,Fuentes Brotantes,19.288058811090515,-99.17459785938264,0,N/A,0,24,Tlalpan
fa0798,N/A,Colonia del Valle,19.38571354863733,-99.17506613534312,0,N/A,0,25,Benito Juárez
fa0799,N/A,Santa rsula,19.2833661880905,-99.17534005596502,0,N/A,0,26,Tlalpan
fa079a,N/A,Ciudad de los Deportes,19.38231253098864,-99.17616458743342,0,N/A,0,27,Benito Juárez
fa079b,N/A,Parque Hundido,19.37946791221312,-99.17708587836776,0,N/A,0,28,Benito Juárez
fa079c,N/A,Ayuntamiento,19.29264531575584,-99.17763856633142,0,N/A,0,29,Tlalpan
fa079d,N/A,Flix Cuevas Norte,19.37417510761703,-99.17880853652244,0,N/A,0,30,Benito Juárez
fa079e,N/A,Ro Churubusco,19.3689094354125,-99.18051144595016,0,N/A,0,31,Benito Juárez
fa079f,N/A,Corregidora,19.29410519454726,-99.1811098140218,0,N/A,0,32,Tlalpan
fa07a0,N/A,Teatro de los Insurgentes,19.36490532773127,-99.18180902259564,0,N/A,0,33,Benito Juárez
fa07a1,N/A,Jos Mara Velasco,19.36176208219084,-99.18289663563068,0,N/A,0,34,Álvaro Obregón
fa07a2,N/A,Francia,19.35830456967379,-99.18395139276464,0,N/A,0,35,Álvaro Obregón
fa07a3,N/A,Olivo,19.35464537755246,-99.18513616213698,0,N/A,0,36,Álvaro Obregón
fa07a4,N/A,Villa Olmpica,19.29914752169245,-99.18548736821604,0,N/A,0,37,Tlalpan
fa07a5,N/A,Perisur,19.30415178639366,-99.18610776319284,0,N/A,0,38,Coyoacán
fa07a6,N/A,Altavista,19.35077189255606,-99.18638186734992,0,N/A,0,39,Álvaro Obregón
fa07a8,N/A,La Bombilla,19.34689513084349,-99.1877655336048,0,N/A,0,40,Álvaro Obregón
fa07aa,N/A,Dep. 18 Mzo. L1,19.48644922699015,-99.1245180831272,0,N/A,0,41,Gustavo A. Madero
fa07ab,N/A,Euzkaro,19.48266224994973,-99.12762383746852,0,N/A,0,42,Gustavo A. Madero
fa07ac,N/A,Ciudad Universitaria,19.32290957807005,-99.18853534896722,0,N/A,0,43,Coyoacán
fa07ad,N/A,Dr. Glvez N,19.341042854223957,-99.18992400169374,0,N/A,0,44,Álvaro Obregón
f85743,N/A,Hamburgo L7,19.42995356797701,-99.16159558715808,0,N/A,0,45,Cuauhtémoc
f85744,N/A,Canal Apatlaco,19.382831721916528,-99.11095976829527,0,N/A,0,46,Benito Juárez
f85745,N/A,El Salvador.,19.430103956320657,-99.13943117569188,0,N/A,0,47,Cuauhtémoc
f85746,N/A,Antropologa,19.4247146195983,-99.18433425390693,0,N/A,0,48,Miguel Hidalgo
f85747,N/A,Hospital General Troncoso,19.40571073731026,-99.11357273352768,0,N/A,0,49,Iztacalco
f85748,N/A,Mercado Beethoven.,19.45776866628389,-99.12894501191792,0,N/A,0,50,Cuauhtémoc
f85749,N/A,Gral. Antonio de Len,19.38538109479915,-99.05174036704835,0,N/A,0,51,Iztapalapa
f8574a,N/A,La Villa,19.48538679588978,-99.11961923523324,0,N/A,0,52,Gustavo A. Madero
f8574b,N/A,Alcalda Cuauhtmoc.,19.44224960421656,-99.15245705245135,0,N/A,0,53,Cuauhtémoc
f8574c,N/A,Ro Tecolutla,19.38898881345624,-99.08310869219636,0,N/A,0,54,Iztapalapa
f8574d,N/A,Clave.,19.46452705261204,-99.12636622517854,0,N/A,0,55,Gustavo A. Madero
f8574f,N/A,Churubusco Oriente,19.37182250554145,-99.10795569419862,0,N/A,0,56,Iztapalapa
f85751,N/A,Chapultepec,19.42404736609939,-99.17422532408304,0,N/A,0,57,Cuauhtémoc
f85752,N/A,Mixiuhca,19.40810448063398,-99.11324457756352,0,N/A,0,58,Venustiano Carranza
f85753,N/A,Hroe de Nacozari,19.47121961572696,-99.14505615056318,0,N/A,0,59,Azcapotzalco
f85754,N/A,Reforma L7,19.43139462535771,-99.15878777412368,0,N/A,0,60,Cuauhtémoc
f85755,N/A,Circuito Cuemanco,19.281266236817235,-99.11672383546832,0,N/A,0,61,Xochimilco
f85756,N/A,Museo San Carlos.,19.43816830883542,-99.1503067924894,0,N/A,0,62,Cuauhtémoc
f85757,N/A,Ampliacin Providencia,19.47980574028463,-99.0752573857366,0,N/A,0,63,Gustavo A. Madero
f85758,N/A,La Viga,19.3980344618875,-99.12457248839456,0,N/A,0,64,Iztacalco
f8575a,N/A,Talismn L5,19.471043005401103,-99.10138964653017,0,N/A,0,65,Gustavo A. Madero
f8575b,N/A,Tres Culturas.,19.450419218071897,-99.13278222084048,0,N/A,0,66,Cuauhtémoc
f8575c,N/A,Viaducto,19.4013539708559,-99.16814444643246,0,N/A,0,67,Cuauhtémoc
f8575d,N/A,Moctezuma L4,19.42690637624361,-99.11189050214648,0,N/A,0,68,Venustiano Carranza
f8575e,N/A,Glorieta de Violeta,19.44153753371875,-99.14223668378564,0,N/A,0,69,Cuauhtémoc
f8575f,N/A,Colegio de Bachilleres 1,19.5115585384633,-99.19729620587955,0,N/A,0,70,Azcapotzalco
f85760,N/A,San Lzaro Sur L5,19.43037834048882,-99.11533134204778,0,N/A,0,71,Venustiano Carranza
f85762,N/A,Leyes de Reforma,19.38342985116283,-99.06579952074638,0,N/A,0,72,Iztapalapa
f85763,N/A,Ferrocarril de Cintura,19.43609113453597,-99.12146595493044,0,N/A,0,73,Venustiano Carranza
f85765,N/A,Vasco de Quiroga,19.49335572058847,-99.09200459718706,0,N/A,0,74,Gustavo A. Madero
f85766,N/A,Las Cruces,19.42610178812354,-99.12963356957754,0,N/A,0,75,Cuauhtémoc
f85768,N/A,Las Bombas,19.31175208539649,-99.11071672556672,0,N/A,0,76,Coyoacán
f85769,N/A,Garibaldi.,19.44373494066624,-99.13915836325556,0,N/A,0,77,Cuauhtémoc
f8576a,N/A,Antropologa.,19.42460986932729,-99.1855224967003,0,N/A,0,78,Miguel Hidalgo
f8576b,N/A,La Virgen,19.32056281851342,-99.11351641089672,0,N/A,0,79,Coyoacán
f8576d,N/A,Alameda Ote,19.43076917615918,-99.05329763889314,0,N/A,0,80,Venustiano Carranza
f8576e,N/A,Garrido,19.48334381404806,-99.11930974316488,0,N/A,0,81,Gustavo A. Madero
f8576f,N/A,Poniente 134,19.49270303566563,-99.15314945910444,0,N/A,0,82,Azcapotzalco
f85770,N/A,Terminal 1 AICM,19.435491574787854,-99.08328473567964,0,N/A,0,83,Venustiano Carranza
f85771,N/A,Teatro del Pueblo.,19.43684268841996,-99.12721494676526,0,N/A,0,84,Cuauhtémoc
f85772,N/A,Norte 45,19.49643830173505,-99.1599112622329,0,N/A,0,85,Azcapotzalco
f85773,N/A,Aculco,19.37487468473131,-99.10816130932012,0,N/A,0,86,Iztapalapa
f85774,N/A,Repblica de Chile,19.43794145112122,-99.1355685498358,0,N/A,0,87,Cuauhtémoc
f85775,N/A,Chapultepec.,19.4237622753023,-99.1743357238685,0,N/A,0,88,Cuauhtémoc
f85776,N/A,Gustavo A. Madero L6,19.48381020629003,-99.11221179986909,0,N/A,0,89,Gustavo A. Madero
f85778,N/A,Hospital General La Villa,19.48028459853183,-99.10118809388028,0,N/A,0,90,Gustavo A. Madero
f85779,N/A,Coyuya,19.39825356928997,-99.11670793250477,0,N/A,0,91,Iztacalco
f8577a,N/A,Vocacional 5,19.4315880176397,-99.15016276518436,0,N/A,0,92,Cuauhtémoc
f8577b,N/A,482.,19.46688044841875,-99.07562037747935,0,N/A,0,93,Gustavo A. Madero
f8577c,N/A,Mixcalco,19.43642638880353,-99.12409129051191,0,N/A,0,94,Cuauhtémoc
